,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.813,1.000,0.840,,,,,,,
alpha,1.014,1.000,1.118,,,,,,,
beta,1.023,1.000,1.014,,,,,,,
rho,0.815,1.000,0.893,,,,,,,
