,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.892,1.000,0.215,,,,,,,
alpha,0.991,1.000,0.438,,,,,,,
beta,0.984,1.000,1.220,,,,,,,
rho,0.893,1.000,0.498,,,,,,,
