,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.817,1.000,0.375,,,,,,,,,,
alpha,1.023,1.000,0.672,,,,,,,,,,
beta,0.884,1.000,1.101,,,,,,,,,,
rho,0.861,1.000,0.478,,,,,,,,,,
