,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.210,1.000,0.979,,,,,,,,,,
alpha,1.121,1.000,1.014,,,,,,,,,,
beta,0.765,1.000,1.005,,,,,,,,,,
rho,0.256,1.000,0.984,,,,,,,,,,
