,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.750,1.000,0.780,,,,,,,
alpha,1.018,1.000,0.850,,,,,,,
beta,1.021,1.000,1.028,,,,,,,
rho,0.751,1.000,0.841,,,,,,,
