,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.784,1.000,0.675,,,,,,,
alpha,0.989,1.000,1.109,,,,,,,
beta,1.019,1.000,0.998,,,,,,,
rho,0.785,1.000,0.694,,,,,,,
