,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.728,1.000,0.400,,,,,,,
alpha,1.053,1.000,0.574,,,,,,,
beta,1.005,1.000,1.002,,,,,,,
rho,0.733,1.000,0.577,,,,,,,
