,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.694,1.000,0.582,,,,,,,,,,
alpha,1.020,1.000,0.988,,,,,,,,,,
beta,0.843,1.000,1.057,,,,,,,,,,
rho,0.738,1.000,0.586,,,,,,,,,,
