,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.869,1.000,0.765,,,,,,,
alpha,0.984,1.000,1.107,,,,,,,
beta,0.979,1.000,1.010,,,,,,,
rho,0.871,1.000,0.791,,,,,,,
