,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.416,1.000,0.349,,,,,,,
alpha,1.082,1.000,0.555,,,,,,,
beta,0.646,1.000,1.415,,,,,,,
rho,0.542,1.000,0.769,,,,,,,
