like1,parw,paralpha,parbeta,pargamma,parlambda_,chain
0.89453006,0.5309901,0.24588412,2.7223475,0.38663444,0.28322992,0.0
1.2462802,0.83625555,4.98732,2.441709,0.7009019,2.0408385,0.0
1.2345049,0.5335709,1.6577578,2.7764819,0.9718735,1.5497992,0.0
1.1756618,0.1827575,4.644029,1.6727355,0.6721121,2.5497022,0.0
1.4264205,0.17712373,0.9646618,1.1266662,0.2631146,1.5029343,0.0
1.428037,0.7858477,1.6579547,2.3475633,0.09311816,1.6002092,0.0
1.2632725,0.5144984,2.9765744,1.1131469,0.12405161,0.58308744,0.0
1.2713932,0.31446466,4.112459,2.9017086,0.5686476,0.9130906,0.0
1.1173258,0.3868658,2.4036953,0.6412645,0.21141347,0.79504615,0.0
1.4261677,0.816116,1.6798812,1.1280438,0.29499152,2.167851,0.0
1.1409318,0.21348678,3.8951976,1.3018248,0.5651592,1.2041231,0.0
1.4270599,0.99251115,4.357418,2.4655821,0.06848742,2.6401045,0.0
1.2997092,0.7167975,4.59628,2.4050825,0.9871385,0.33436137,0.0
0.98876554,0.9503409,1.8763406,0.8324623,0.49037558,2.317147,0.0
1.3680773,0.5712186,3.74644,0.88134265,0.2856837,1.3482586,0.0
1.424966,0.18524364,2.4092767,0.64635205,0.06365706,2.6087666,0.0
1.0287541,0.5149316,4.427999,0.68029124,0.9875829,0.9911191,0.0
1.4280107,0.15619135,0.6707757,1.975257,0.39863217,2.5303693,0.0
1.1438874,0.1669578,3.908029,0.7882288,0.8819164,1.1855571,0.0
1.2207382,0.33652648,0.9167192,2.0671997,0.3672768,1.130522,0.0
1.3832853,0.0824119,4.160075,1.4558103,0.031656936,0.46004507,0.0
1.2322527,0.6703138,3.1540363,2.0017693,0.37826076,0.99392796,0.0
1.2959636,0.4529991,3.8568466,2.9923,0.8453133,1.0028117,0.0
1.0209025,0.6489105,0.8988596,1.350476,0.8128381,0.85982376,0.0
0.8646654,0.49441862,1.0087117,1.0983204,0.45967934,0.5849216,0.0
1.2754791,0.9841992,2.8036764,1.9745799,0.5415537,2.9028602,0.0
1.4266434,0.81212366,0.5952958,2.9821942,0.26522687,2.2861154,0.0
