,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.715,1.000,0.311,,,,,,,,,,
alpha,1.053,1.000,0.533,,,,,,,,,,
beta,0.920,1.000,1.218,,,,,,,,,,
rho,0.732,1.000,0.543,,,,,,,,,,
