,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.807,1.000,0.450,,,,,,,,,,
alpha,1.002,1.000,0.741,,,,,,,,,,
beta,1.056,1.000,1.271,,,,,,,,,,
rho,0.815,1.000,0.598,,,,,,,,,,
