like1,parw,paralpha,parbeta,pargamma,parlambda_,chain
0.8192651,0.45322287,0.05303607,1.5272049,0.35574877,2.4917307,0.0
0.7000257,0.25307,1.6374192,2.5472624,0.71148044,0.69644386,0.0
0.97894627,0.008014137,1.1678557,1.2311325,0.77361417,0.33269966,0.0
1.0110865,0.2953812,2.596645,1.311833,0.15756094,0.85674596,0.0
0.9443987,0.09260269,2.4787204,1.063957,0.3779369,0.5703175,0.0
1.1382899,0.09866636,4.753072,2.8053179,0.62348735,1.4969052,0.0
0.31727296,0.41105476,0.67745644,2.9213064,0.88823026,2.1054206,0.0
1.1997944,0.42848226,2.3834186,2.7137558,0.99446356,1.7510449,0.0
0.7204795,0.69079465,2.6604342,1.335325,0.38928685,1.5311928,0.0
1.5336182,0.15995622,2.247707,2.7785091,0.046747625,2.8492377,0.0
1.0522296,0.39612886,1.2983825,0.8042081,0.617814,0.31473663,0.0
0.8236766,0.79072434,4.880022,0.9329432,0.23115107,0.73127943,0.0
1.0381906,0.26371047,1.5736886,0.5616688,0.4412893,0.6583147,0.0
1.0252515,0.14847761,2.1290958,1.4143049,0.48775485,0.33791173,0.0
1.5336182,0.99168456,3.2764266,1.293032,0.037591837,2.5386822,0.0
1.3571256,0.55729985,4.4672217,2.941643,0.8279633,2.7742774,0.0
0.3387009,0.57498133,1.0826733,1.6825197,0.6692105,2.1252537,0.0
0.6386348,0.41869012,4.194984,0.62222373,0.9473184,0.5006725,0.0
1.1537821,0.49756905,4.557817,2.0878384,0.18266906,2.2597637,0.0
0.8345194,0.53410786,1.1984787,0.54662025,0.28054374,1.4705781,0.0
1.3711882,0.61777663,3.693668,0.98049873,0.062236156,1.3222274,0.0
1.0248985,0.406424,1.6457998,1.9529389,0.19444275,1.2166699,0.0
0.947777,0.1013947,4.2158694,1.7797737,0.6898616,2.2239041,0.0
1.4326591,0.97269416,4.665398,2.8464084,0.95307755,1.3710023,0.0
0.826919,0.017322984,2.7489333,2.3678424,0.39415932,0.641846,0.0
0.6840415,0.99765456,0.71792114,2.652095,0.9009351,0.50450736,0.0
0.9983813,0.87149864,3.5935214,2.2921734,0.7008083,2.648922,0.0
1.0176926,0.4109892,2.2962778,2.7704952,0.7365715,0.35374343,0.0
0.9589432,0.893952,2.2979975,0.87039375,0.69570893,0.25688583,0.0
0.6525663,0.057516098,3.5091152,0.7641742,0.88899696,1.4531686,0.0
0.8915085,0.18058603,4.4847336,0.9629902,0.9743182,2.2502997,0.0
0.9651859,0.5541714,4.7182965,2.3653734,0.59308136,2.5257096,0.0
0.880276,0.988109,3.5186062,2.7241645,0.3887302,2.1817203,0.0
0.48788664,0.74065953,0.30475163,1.6842977,0.69005656,1.506515,0.0
1.1367655,0.7944779,4.4669576,1.6572776,0.20626286,2.0398116,0.0
0.6066826,0.66532946,0.13813381,1.449131,0.8406597,0.6785415,0.0
1.4229307,0.19853988,2.1013603,1.8152695,0.15150408,2.940324,0.0
0.92202556,0.42078677,3.7910054,2.3354568,0.58767956,2.4570572,0.0
0.7814878,0.3939356,4.496973,1.2253313,0.48428115,2.6750445,0.0
0.90420514,0.6298062,3.016591,2.9660978,0.55305636,2.5015266,0.0
0.72862405,0.07791833,2.76527,1.1069372,0.40887883,1.5289631,0.0
1.1016549,0.07993808,3.093974,2.2655146,0.8453083,2.7625809,0.0
0.89454883,0.45327127,1.8507811,1.9535486,0.26275575,1.5482692,0.0
1.0391008,0.42029515,2.6069882,1.6835647,0.2160679,1.4341547,0.0
0.7325334,0.29548633,2.9291232,1.2094573,0.53199893,0.9970453,1.0
0.9339944,0.7906306,4.810837,1.5893886,0.71884686,2.6211526,2.0
0.8535545,0.51944315,4.0281506,1.7714511,0.4230891,1.8254389,3.0
0.731607,0.32806093,2.2016072,1.8416466,0.5180047,2.8724651,4.0
0.8677495,0.8289165,2.261735,1.4136481,0.07278576,0.40276232,5.0
0.31977406,0.7494219,0.59312624,2.4555817,0.87916553,2.6696937,6.0
0.87813747,0.625662,3.4483647,1.8146386,0.6834723,2.3575828,7.0
0.60665965,0.3319765,1.5207714,1.7773695,0.78444856,0.88172567,8.0
0.3684086,0.66987544,1.3155123,0.88506985,0.8772041,1.9291642,9.0
0.6878904,0.4234834,1.8825296,1.8814911,0.47369313,1.5228647,10.0
0.6026396,0.61264986,2.196578,1.5442297,0.6012046,1.6383779,11.0
0.7870593,0.5680154,3.7826881,0.8384341,0.28346616,1.5575773,1.0
0.71436113,0.2908585,1.9205458,2.0464416,0.65729886,0.32796603,2.0
0.57109565,0.1744446,3.3733358,0.6218542,0.9003848,1.2489023,3.0
0.58423114,0.7824772,1.4047353,2.5363503,0.47842556,2.8048444,4.0
0.37857494,0.19225661,0.435936,2.3592072,0.9622133,1.6567945,5.0
0.47704017,0.0134420665,1.2355337,1.4109776,0.588061,2.9387033,6.0
0.6148995,0.21712674,2.3632145,1.3498791,0.5943625,1.693378,7.0
0.6852318,0.5044776,1.6551267,2.4766195,0.7006708,2.1170528,8.0
0.72593135,0.13029404,2.450894,1.8616847,0.59859645,1.1386727,9.0
0.48985997,0.20819274,2.2671916,0.70902276,0.85902166,1.5985327,10.0
1.2369753,0.5214092,0.50465345,1.7521546,0.36744136,0.2592214,11.0
0.47519147,0.20586304,1.2576234,1.9465778,0.5926686,2.5740633,1.0
0.6061475,0.74376786,2.1283848,1.4826368,0.66995424,1.1046085,2.0
0.8443855,0.7014666,3.3479967,1.6191372,0.37092063,1.9457331,3.0
1.0732617,0.20699622,3.1805336,2.645491,0.2689849,1.9837987,4.0
0.73174715,0.27976024,3.8653188,1.3061328,0.6382457,0.38454968,5.0
