,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.787,1.000,0.737,,,,,,,
alpha,0.987,1.000,1.004,,,,,,,
beta,1.001,1.000,1.029,,,,,,,
rho,0.788,1.000,0.739,,,,,,,
