,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.809,1.000,0.544,,,,,,,,,,
alpha,1.064,1.000,0.801,,,,,,,,,,
beta,1.068,1.000,1.098,,,,,,,,,,
rho,0.833,1.000,0.601,,,,,,,,,,
