,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.887,1.000,0.946,,,,,,,
alpha,0.977,1.000,1.004,,,,,,,
beta,0.994,1.000,1.001,,,,,,,
rho,0.890,1.000,0.946,,,,,,,
