,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.882,1.000,0.303,,,,,,,,,,
alpha,1.011,1.000,0.745,,,,,,,,,,
beta,1.059,1.000,1.015,,,,,,,,,,
rho,0.898,1.000,0.352,,,,,,,,,,
