,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.697,1.000,0.665,,,,,,,,,,
alpha,1.023,1.000,0.850,,,,,,,,,,
beta,0.804,1.000,1.008,,,,,,,,,,
rho,0.769,1.000,0.700,,,,,,,,,,
