,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.271,1.000,0.051,,,,,,,,,,
alpha,0.335,1.000,1.736,,,,,,,,,,
beta,1.147,1.000,1.021,,,,,,,,,,
rho,0.741,1.000,0.400,,,,,,,,,,
