,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.262,1.000,0.582,,,,,,,,,,
alpha,1.177,1.000,1.303,,,,,,,,,,
beta,0.876,1.000,0.783,,,,,,,,,,
rho,0.295,1.000,0.811,,,,,,,,,,
