,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.421,1.000,0.464,,,,,,,,,,
alpha,1.038,1.000,0.632,,,,,,,,,,
beta,0.906,1.000,1.017,,,,,,,,,,
rho,0.430,1.000,0.610,,,,,,,,,,
