,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.460,1.000,0.905,,,,,,,
alpha,1.211,1.000,0.960,,,,,,,
beta,0.867,1.000,1.081,,,,,,,
rho,0.522,1.000,0.972,,,,,,,
