,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.819,1.000,0.777,,,,,,,,,,
alpha,1.014,1.000,1.010,,,,,,,,,,
beta,1.050,1.000,1.001,,,,,,,,,,
rho,0.826,1.000,0.777,,,,,,,,,,
