,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.915,1.000,0.761,,,,,,,
alpha,0.984,1.000,0.830,,,,,,,
beta,0.974,1.000,1.010,,,,,,,
rho,0.921,1.000,0.832,,,,,,,
