,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.777,1.000,0.411,,,,,,,,,,
alpha,1.035,1.000,0.564,,,,,,,,,,
beta,0.860,1.000,1.117,,,,,,,,,,
rho,0.830,1.000,0.622,,,,,,,,,,
