,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.851,1.000,0.889,,,,,,,
alpha,1.014,1.000,0.923,,,,,,,
beta,0.963,1.000,1.002,,,,,,,
rho,0.856,1.000,0.920,,,,,,,
