,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.876,1.000,0.723,,,,,,,,,,
alpha,0.990,1.000,0.781,,,,,,,,,,
beta,1.021,1.000,1.054,,,,,,,,,,
rho,0.878,1.000,0.839,,,,,,,,,,
