,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.891,1.000,0.811,,,,,,,
alpha,0.987,1.000,0.899,,,,,,,
beta,0.998,1.000,1.013,,,,,,,
rho,0.892,1.000,0.840,,,,,,,
