,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.788,1.000,0.633,,,,,,,,,,
alpha,1.102,1.000,1.111,,,,,,,,,,
beta,1.092,1.000,1.050,,,,,,,,,,
rho,0.838,1.000,0.654,,,,,,,,,,
