,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.851,1.000,0.759,,,,,,,
alpha,0.969,1.000,0.896,,,,,,,
beta,0.953,1.000,1.021,,,,,,,
rho,0.862,1.000,0.784,,,,,,,
