,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.494,1.000,0.360,,,,,,,
alpha,1.069,1.000,0.756,,,,,,,
beta,1.113,1.000,1.352,,,,,,,
rho,0.512,1.000,0.525,,,,,,,
