,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.733,1.000,0.814,,,,,,,
alpha,1.011,1.000,1.027,,,,,,,
beta,0.903,1.000,1.011,,,,,,,
rho,0.751,1.000,0.816,,,,,,,
