,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.565,1.000,0.775,,,,,,,,,,
alpha,1.047,1.000,0.801,,,,,,,,,,
beta,0.967,1.000,1.034,,,,,,,,,,
rho,0.569,1.000,0.901,,,,,,,,,,
