,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.822,1.000,0.557,,,,,,,
alpha,0.959,1.000,1.026,,,,,,,
beta,1.004,1.000,1.391,,,,,,,
rho,0.826,1.000,0.794,,,,,,,
