,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.634,1.000,0.239,,,,,,,,,,
alpha,1.061,1.000,0.599,,,,,,,,,,
beta,0.869,1.000,1.246,,,,,,,,,,
rho,0.664,1.000,0.402,,,,,,,,,,
