,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.752,1.000,0.670,,,,,,,
alpha,0.996,1.000,0.830,,,,,,,
beta,1.042,1.000,1.008,,,,,,,
rho,0.756,1.000,0.717,,,,,,,
