,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.876,1.000,0.806,,,,,,,
alpha,1.006,1.000,0.887,,,,,,,
beta,0.954,1.000,1.031,,,,,,,
rho,0.886,1.000,0.845,,,,,,,
