,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.018,1.000,-0.043,,,,,,,
alpha,0.901,1.000,0.944,,,,,,,
beta,1.171,1.000,1.215,,,,,,,
rho,0.038,1.000,-0.019,,,,,,,
