,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.816,1.000,0.398,,,,,,,
alpha,1.017,1.000,0.735,,,,,,,
beta,0.980,1.000,1.053,,,,,,,
rho,0.818,1.000,0.462,,,,,,,
