,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.937,1.000,0.753,,,,,,,
alpha,1.005,1.000,0.858,,,,,,,
beta,0.974,1.000,1.191,,,,,,,
rho,0.943,1.000,0.935,,,,,,,
