,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.973,1.000,0.347,,,,,,,,,,
alpha,1.002,1.000,0.561,,,,,,,,,,
beta,0.993,1.000,1.447,,,,,,,,,,
rho,0.974,1.000,0.819,,,,,,,,,,
