,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.583,1.000,0.195,,,,,,,
alpha,0.992,1.000,0.653,,,,,,,
beta,0.995,1.000,1.194,,,,,,,
rho,0.583,1.000,0.300,,,,,,,
