,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.800,1.000,0.561,,,,,,,
alpha,0.973,1.000,1.255,,,,,,,
beta,1.006,1.000,1.027,,,,,,,
rho,0.802,1.000,0.643,,,,,,,
