,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.771,1.000,0.700,,,,,,,
alpha,1.026,1.000,0.788,,,,,,,
beta,0.824,1.000,1.081,,,,,,,
rho,0.857,1.000,0.803,,,,,,,
