,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.890,1.000,0.849,,,,,,,
alpha,1.020,1.000,0.865,,,,,,,
beta,1.005,1.000,1.032,,,,,,,
rho,0.892,1.000,0.941,,,,,,,
