,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.098,1.000,0.953,,,,,,,
alpha,1.156,1.000,0.983,,,,,,,
beta,0.858,1.000,1.002,,,,,,,
rho,0.123,1.000,0.956,,,,,,,
