,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.459,1.000,0.469,,,,,,,
alpha,0.886,1.000,0.591,,,,,,,
beta,0.863,1.000,1.009,,,,,,,
rho,0.489,1.000,0.662,,,,,,,
