,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.758,1.000,0.835,,,,,,,
alpha,0.977,1.000,0.982,,,,,,,
beta,0.942,1.000,1.017,,,,,,,
rho,0.766,1.000,0.837,,,,,,,
