,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.875,1.000,0.805,,,,,,,
alpha,0.993,1.000,1.068,,,,,,,
beta,0.989,1.000,1.015,,,,,,,
rho,0.876,1.000,0.818,,,,,,,
