,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.431,1.000,0.743,,,,,,,
alpha,0.940,1.000,0.796,,,,,,,
beta,0.884,1.000,1.003,,,,,,,
rho,0.446,1.000,0.843,,,,,,,
