,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,-0.038,1.000,0.986,,,,,,,
alpha,0.922,1.000,0.988,,,,,,,
beta,0.882,1.000,1.007,,,,,,,
rho,-0.028,1.000,0.996,,,,,,,
