,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.730,1.000,0.902,,,,,,,,,,
alpha,1.107,1.000,0.966,,,,,,,,,,
beta,0.982,1.000,1.014,,,,,,,,,,
rho,0.753,1.000,0.910,,,,,,,,,,
