,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.791,1.000,0.698,,,,,,,
alpha,0.975,1.000,0.934,,,,,,,
beta,0.986,1.000,1.001,,,,,,,
rho,0.793,1.000,0.705,,,,,,,
