,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.753,1.000,0.882,,,,,,,,,,
alpha,1.010,1.000,1.005,,,,,,,,,,
beta,1.049,1.000,1.000,,,,,,,,,,
rho,0.758,1.000,0.882,,,,,,,,,,
