,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.971,1.000,0.810,,,,,,,
alpha,0.982,1.000,0.847,,,,,,,
beta,0.998,1.000,1.022,,,,,,,
rho,0.977,1.000,0.889,,,,,,,
