,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.282,1.000,-0.608,,,,,,,
alpha,0.985,1.000,2.346,,,,,,,
beta,0.996,1.000,1.060,,,,,,,
rho,0.282,1.000,0.122,,,,,,,
