,storage,inflow,outflow,elevation,evaporation,storage_glofas,inflow_glofas,outflow_glofas,year,month,weekofyear,dayofyear,dayofweek
KGE,0.815,1.000,0.374,,,,,,,,,,
alpha,1.072,1.000,0.553,,,,,,,,,,
beta,0.979,1.000,1.068,,,,,,,,,,
rho,0.831,1.000,0.566,,,,,,,,,,
