,storage,inflow,outflow,elevation,evaporation,year,month,weekofyear,dayofyear,dayofweek
KGE,0.680,1.000,0.130,,,,,,,
alpha,1.068,1.000,1.415,,,,,,,
beta,1.003,1.000,1.423,,,,,,,
rho,0.688,1.000,0.363,,,,,,,
