like1,parT,chain,KGEval
0.64805955,277.88037000,0.00000000,0.28055600
0.75513065,964.11150000,0.00000000,0.21028357
0.65206236,275.36487000,0.00000000,0.27756979
0.62940060,484.50577000,0.00000000,0.32170133
0.72279793,766.98600000,0.00000000,0.24533900
0.76168480,1069.53550000,0.00000000,0.20279425
0.76168480,1069.51350000,0.00000000,0.20279425
0.63514510,288.32056000,0.00000000,0.28614441
0.62233560,416.78336000,0.00000000,0.31528819
0.74330074,882.88556000,0.00000000,0.22302343
0.69157803,665.24430000,0.00000000,0.26526836
0.77383447,153.30486000,0.00000000,0.09582884
0.60807320,346.07410000,1.00000000,0.30738654
0.70150405,694.82635000,2.00000000,0.26036560
0.61011610,381.42870000,3.00000000,0.31148802
0.62025243,303.76727000,1.00000000,0.29279321
0.62712870,470.01040000,2.00000000,0.32040874
0.61181830,386.88882000,3.00000000,0.31258367
0.61431240,312.07520000,1.00000000,0.29671438
0.60872320,335.82983000,2.00000000,0.30764595
0.60743546,359.58450000,3.00000000,0.30936936
0.66066045,580.38293000,1.00000000,0.29168441
0.75965506,1007.46106000,2.00000000,0.20523565
0.62421420,429.13165000,3.00000000,0.31411050
0.60922640,332.28015000,1.00000000,0.30763549
0.60805935,345.93234000,2.00000000,0.30739529
0.60757810,373.23666000,3.00000000,0.30999417
0.61220074,388.38095000,1.00000000,0.31276371
0.60701780,367.22750000,2.00000000,0.30933070
0.63918940,520.45020000,3.00000000,0.31750830
0.61042160,382.48074000,1.00000000,0.31167649
0.60745466,359.15530000,2.00000000,0.30933280
0.60814180,347.49258000,3.00000000,0.30724791
0.62398815,432.96725000,1.00000000,0.31453518
0.60942227,329.89020000,2.00000000,0.30698461
0.60769457,355.65945000,3.00000000,0.30826762
0.62390110,438.05484000,1.00000000,0.31520709
0.60735697,361.44348000,2.00000000,0.30944172
0.60704130,364.33550000,3.00000000,0.30934376
0.62136140,414.26782000,1.00000000,0.31585334
0.60754436,373.09490000,2.00000000,0.30994939
0.60699415,366.33970000,3.00000000,0.30937304
0.60716460,370.81802000,1.00000000,0.30969802
0.60698354,364.98666000,2.00000000,0.30939916
0.60703635,367.90234000,3.00000000,0.30939857
0.60840760,351.56342000,1.00000000,0.30800966
0.60727170,362.40005000,2.00000000,0.30937148
0.60703390,367.81836000,3.00000000,0.30938055
0.60700040,366.44452000,1.00000000,0.30936072
0.60696864,365.71558000,2.00000000,0.30941579
0.60696954,365.35114000,3.00000000,0.30941538
0.61588950,401.19516000,1.00000000,0.31390455
0.60936670,327.47583000,2.00000000,0.30615248
0.60696954,365.33762000,3.00000000,0.30941591
0.60699790,364.81378000,1.00000000,0.30938797
0.60698040,366.02066000,2.00000000,0.30940161
0.60696864,365.41720000,3.00000000,0.30941757
0.72556130,778.64460000,1.00000000,0.24261602
0.60709920,363.70142000,2.00000000,0.30929818
0.60697020,365.75990000,3.00000000,0.30941463
