like1,parT,chain,like_val
2.81740520,1879.34700000,0.00000000,2.39103677
1.60927500,444.58032000,0.00000000,1.94727885
2.15931750,911.16486000,0.00000000,2.30557259
2.60414300,1377.67970000,0.00000000,2.37589989
1.54101530,387.57680000,0.00000000,1.79765922
2.76686020,1678.84910000,0.00000000,2.38727761
2.80519750,1812.77530000,0.00000000,2.38998024
2.73688940,1612.44180000,0.00000000,2.38554927
1.76036720,643.57544000,0.00000000,2.15354040
2.36697960,1083.59720000,0.00000000,2.34709921
1.96141090,776.42400000,0.00000000,2.23835899
2.65950300,1469.05330000,0.00000000,2.38048592
1.76889790,649.37085000,1.00000000,2.15763221
1.54289080,125.78279000,2.00000000,1.73364138
1.45870020,256.67980000,3.00000000,1.45391392
1.57741020,410.04596000,1.00000000,1.86321509
1.52010860,375.51157000,2.00000000,1.76424141
1.47270100,340.97717000,3.00000000,1.66748962
2.20006400,942.58417000,1.00000000,2.31532064
1.47668740,344.56677000,2.00000000,1.67976004
2.28365200,1010.62756000,3.00000000,2.33298115
2.33910850,1058.75960000,1.00000000,2.34272888
1.64101090,494.08832000,2.00000000,2.02306738
1.54752180,158.30630000,3.00000000,1.55767407
1.45573230,322.12830000,1.00000000,1.60635230
1.64762090,516.55190000,2.00000000,2.04635753
1.44399560,289.40405000,3.00000000,1.51630055
1.69066920,584.46690000,1.00000000,2.10776803
1.46582130,249.64174000,2.00000000,1.44509662
1.44430110,295.30945000,3.00000000,1.53077362
1.66508460,546.89540000,1.00000000,2.07234263
1.52373430,195.04521000,2.00000000,1.45161242
1.51278460,370.97030000,3.00000000,1.75219732
1.51166820,107.44767000,1.00000000,1.85108301
1.47600460,241.47961000,2.00000000,1.43724049
1.61888860,458.19638000,3.00000000,1.97173352
1.54851350,156.37914000,1.00000000,1.56624549
1.46888420,337.32850000,2.00000000,1.65521518
1.45026490,313.36627000,3.00000000,1.58002864
1.47003900,246.05215000,1.00000000,1.44131294
1.44885040,270.68082000,2.00000000,1.47659406
1.44463800,282.99515000,3.00000000,1.50160494
1.44762160,273.28632000,1.00000000,1.48150900
1.61493370,453.29764000,2.00000000,1.96368007
1.52544670,190.95900000,3.00000000,1.45862081
1.46915950,337.59790000,1.00000000,1.65611613
1.44412850,293.61980000,2.00000000,1.52654562
1.44837890,271.63077000,3.00000000,1.47836398
1.44677090,305.52180000,1.00000000,1.55776156
1.44461920,297.46292000,2.00000000,1.53626401
1.46978950,246.25407000,3.00000000,1.44151388
1.48606110,352.30255000,1.00000000,1.70679786
1.44470640,282.62530000,2.00000000,1.50079113
1.44404220,288.12256000,3.00000000,1.51327605
1.44610390,277.25266000,1.00000000,1.48939139
1.44418060,286.28107000,2.00000000,1.50900370
1.44399070,290.79526000,3.00000000,1.51963041
1.44580660,302.56174000,1.00000000,1.54969688
1.44406600,292.77844000,2.00000000,1.52446472
1.44405540,287.88678000,3.00000000,1.51272443
