like1,parT,chain
1.4534117,1852.1168,0.0
0.8563463,778.3543,0.0
0.8524062,518.0405,0.0
1.021376,973.5428,0.0
1.3270205,1476.2384,0.0
1.4835188,1971.5092,0.0
1.1899425,1202.0087,0.0
1.4808103,1961.0592,0.0
1.0985677,262.8798,0.0
1.1590915,1155.4972,0.0
0.9509305,457.1108,0.0
1.035226,988.9665,0.0
0.8343037,753.5035,1.0
0.77048075,635.77203,2.0
1.1335872,1114.871,3.0
0.84989005,520.61707,1.0
0.77615774,649.48566,2.0
0.7829069,585.05133,3.0
0.8774423,806.304,1.0
1.0984979,1063.0809,2.0
0.76884925,631.7074,3.0
0.82768166,745.07697,1.0
0.7832698,668.3468,2.0
0.85387045,516.6111,3.0
0.777169,595.068,1.0
0.768643,613.3877,2.0
0.8096399,719.0057,3.0
0.79318935,690.4245,1.0
0.78564525,581.11957,2.0
0.77053744,608.4458,3.0
0.82186955,545.46783,1.0
0.82896346,746.9301,2.0
0.7749008,646.199,3.0
0.77790904,653.4916,1.0
0.7673575,619.2715,2.0
0.7706844,636.38153,3.0
0.76826,630.09717,1.0
0.76732975,624.6843,2.0
0.78354824,669.1386,3.0
0.76734,624.88464,1.0
0.7891111,681.30756,2.0
0.7673597,619.13617,3.0
0.9199641,854.63995,1.0
0.8317159,750.41943,2.0
0.82609516,541.9785,3.0
0.767332,622.05835,1.0
