like1,parT,chain,KGEval
0.88052730,647.09393000,0.00000000,0.18112034
0.75678450,1028.72610000,0.00000000,-0.18402592
0.86464983,840.44446000,0.00000000,-0.02120884
0.73952090,1040.01220000,0.00000000,-0.19599586
0.70328444,1067.20140000,0.00000000,-0.23159740
0.87256430,944.66520000,0.00000000,-0.08741233
1.52863690,223.03685000,0.00000000,-1.04464712
1.31170930,292.02963000,0.00000000,-0.56712537
1.21252780,335.32297000,0.00000000,-0.34720673
0.88989000,624.27893000,0.00000000,0.19024149
0.87362900,895.85680000,0.00000000,-0.05252201
1.09311470,403.24780000,0.00000000,-0.08928359
0.79664810,1005.93335000,1.00000000,-0.15991042
1.03094980,449.16510000,2.00000000,0.03437245
0.79860810,1004.79680000,3.00000000,-0.15874224
0.85574000,967.93450000,1.00000000,-0.11607938
0.89479370,613.82324000,2.00000000,0.19268274
0.80002580,1003.97330000,3.00000000,-0.15801554
0.86422950,837.91000000,1.00000000,-0.01757031
0.87934470,931.27030000,2.00000000,-0.07737890
0.79608774,1006.24300000,3.00000000,-0.16020144
0.71623820,1056.61000000,1.00000000,-0.21665496
0.85895640,753.96520000,2.00000000,0.08804126
1.09558400,401.60654000,3.00000000,-0.09442241
0.74432460,1036.72220000,1.00000000,-0.19260331
0.67500900,1097.68070000,2.00000000,-0.27997540
0.68758416,1082.44100000,3.00000000,-0.25463849
0.75268390,1031.27170000,1.00000000,-0.18693996
0.68810750,1081.94840000,2.00000000,-0.25383401
0.70091337,1069.27920000,3.00000000,-0.23457204
0.69467280,1075.22750000,1.00000000,-0.24338156
0.86805050,688.27783000,2.00000000,0.15348288
0.71497476,1057.61990000,3.00000000,-0.21800805
0.72044533,1053.47880000,1.00000000,-0.21278354
0.88599014,633.25610000,2.00000000,0.18724941
0.69147720,1078.23160000,3.00000000,-0.24786610
0.68396560,1086.45410000,1.00000000,-0.26125248
0.67915130,1092.06740000,2.00000000,-0.27069804
0.67752830,1094.87400000,3.00000000,-0.27535203
0.67704904,1095.60290000,1.00000000,-0.27654796
0.68191680,1089.02200000,2.00000000,-0.26557239
0.67897580,1092.31250000,3.00000000,-0.27111140
0.70030780,1069.78420000,1.00000000,-0.23528175
0.67789830,1094.11250000,2.00000000,-0.27410851
0.68280920,1088.03050000,3.00000000,-0.26392163
0.70473520,1065.85510000,1.00000000,-0.22962323
0.68036854,1090.60790000,2.00000000,-0.26822851
0.68558110,1084.41970000,3.00000000,-0.25788621
0.67747366,1094.99660000,1.00000000,-0.27555307
0.67630060,1096.33860000,2.00000000,-0.27776007
0.67390364,1099.02270000,3.00000000,-0.28222116
0.67846936,1093.10550000,1.00000000,-0.27245116
0.67463434,1098.10050000,2.00000000,-0.28067248
0.87054130,947.63806000,3.00000000,-0.09091318
0.67962790,1091.45230000,1.00000000,-0.26965791
0.67446935,1098.29580000,2.00000000,-0.28099796
0.67605680,1096.58500000,3.00000000,-0.27816554
0.68166430,1089.26610000,1.00000000,-0.26597803
0.67395030,1098.95910000,2.00000000,-0.28211262
0.67610480,1096.53590000,3.00000000,-0.27808510
0.67442270,1098.35170000,1.00000000,-0.28109122
0.67345370,1099.69370000,2.00000000,-0.28336781
0.67367000,1099.35830000,3.00000000,-0.28279382
0.67492550,1097.77200000,1.00000000,-0.28012670
0.67441160,1098.36550000,2.00000000,-0.28111410
0.76639843,1023.00180000,3.00000000,-0.17798496
0.86452025,839.66800000,1.00000000,-0.02004903
0.67525846,1097.41580000,2.00000000,-0.27953610
0.67379516,1099.17580000,3.00000000,-0.28248229
0.67580270,1096.85170000,1.00000000,-0.27860514
0.67367620,1099.34920000,2.00000000,-0.28277848
0.67412597,1098.72490000,3.00000000,-0.28171344
0.67369160,1099.32640000,1.00000000,-0.28273997
0.67357000,1099.51010000,2.00000000,-0.28305383
0.67334220,1099.87740000,3.00000000,-0.28368177
0.67327476,1099.99170000,1.00000000,-0.28387925
0.67346555,1099.67490000,2.00000000,-0.28333605
0.67336840,1099.83330000,3.00000000,-0.28360627
0.67402570,1098.85740000,1.00000000,-0.28193877
0.67336370,1099.84110000,2.00000000,-0.28362017
0.85461740,969.50860000,3.00000000,-0.11774856
0.67411757,1098.73580000,1.00000000,-0.28173224
0.67350245,1099.61580000,2.00000000,-0.28323493
0.87661710,658.19200000,3.00000000,0.17497339
0.67336260,1099.84280000,1.00000000,-0.28362294
0.67331880,1099.91720000,2.00000000,-0.28375001
0.67329645,1099.95450000,3.00000000,-0.28381445
0.67342130,1099.74660000,1.00000000,-0.28345889
0.67338127,1099.81200000,2.00000000,-0.28357081
0.82422600,989.83984000,3.00000000,-0.14284685
0.67351544,1099.59510000,1.00000000,-0.28319848
1.26629450,310.68124000,2.00000000,-0.46628526
0.67343860,1099.71810000,3.00000000,-0.28340990
0.67357360,1099.50450000,1.00000000,-0.28304450
0.67346910,1099.66900000,2.00000000,-0.28332633
0.67327120,1099.99770000,3.00000000,-0.28388913
0.67331755,1099.91940000,1.00000000,-0.28375415
0.67329400,1099.95850000,2.00000000,-0.28382166
0.67328274,1099.97810000,3.00000000,-0.28385526
0.67332140,1099.91250000,1.00000000,-0.28374245
0.67329790,1099.95200000,2.00000000,-0.28381035
0.67328626,1099.97190000,3.00000000,-0.28384469
0.67333870,1099.88320000,1.00000000,-0.28369159
0.86865600,879.03760000,2.00000000,-0.04014759
0.82483310,989.46045000,3.00000000,-0.14221807
0.67338980,1099.79770000,1.00000000,-0.28354633
0.67329490,1099.95720000,2.00000000,-0.28381913
0.67331874,1099.91720000,3.00000000,-0.28375001
