like1,parT,chain,KGEval
0.47469926,434.17508000,0.00000000,0.37325209
0.46752092,898.43353000,0.00000000,0.16073947
0.46752092,817.43710000,0.00000000,0.16073947
3.63225530,191.38751000,0.00000000,-1.02074336
0.40123780,524.89294000,0.00000000,0.24714736
0.46311375,604.75740000,0.00000000,0.16613874
7.08981300,112.31283600,0.00000000,-3.78608000
0.46752092,896.50995000,0.00000000,0.16073947
0.89775950,356.12310000,0.00000000,0.39585318
0.45251680,586.11500000,0.00000000,0.17833333
0.41156030,538.08150000,0.00000000,0.23046419
0.58378270,404.53940000,0.00000000,0.40586567
0.46752092,711.66320000,1.00000000,0.16073947
0.46677402,618.27810000,2.00000000,0.16175314
0.44062808,571.58550000,3.00000000,0.19315349
0.46752092,677.75930000,1.00000000,0.16073947
0.46752092,999.39545000,2.00000000,0.16073947
0.46425850,607.92040000,3.00000000,0.16486249
1.56756450,293.50256000,1.00000000,0.18031439
0.42602307,554.68915000,2.00000000,0.21161935
0.40000120,523.26330000,3.00000000,0.24921808
0.46752092,756.03730000,1.00000000,0.16073947
0.42740127,453.47750000,2.00000000,0.34385999
0.40464120,529.11743000,3.00000000,0.24177232
0.46752092,777.04230000,1.00000000,0.16073947
0.38905156,491.83743000,2.00000000,0.29010640
0.39103750,507.55035000,3.00000000,0.26925327
0.38960300,489.18520000,1.00000000,0.29364566
0.39084795,507.03906000,2.00000000,0.26990566
0.46752092,701.77450000,3.00000000,0.16073947
0.39037898,486.64940000,1.00000000,0.29702888
0.39116523,507.88342000,2.00000000,0.26882799
0.38878050,497.26642000,3.00000000,0.28278773
0.40443470,468.24258000,1.00000000,0.32089873
0.38965800,503.16205000,2.00000000,0.27487993
0.39073566,485.70230000,3.00000000,0.29828696
0.38903326,491.95792000,1.00000000,0.28994496
0.46752092,634.50010000,2.00000000,0.16073947
0.38877642,494.61218000,3.00000000,0.28637528
0.38882512,497.97253000,1.00000000,0.28183417
0.38876470,494.90497000,2.00000000,0.28598006
0.46104062,599.87354000,3.00000000,0.16852227
0.44759402,579.90310000,1.00000000,0.18442411
0.38883590,498.11215000,2.00000000,0.28164546
0.38883840,493.64868000,3.00000000,0.28767390
0.46510702,610.56134000,1.00000000,0.16391728
0.38889650,498.77370000,2.00000000,0.28075061
0.38878766,494.38540000,3.00000000,0.28668116
0.38875110,496.43875000,1.00000000,0.28390484
0.38874680,495.67188000,2.00000000,0.28494337
0.41163412,538.17090000,3.00000000,0.23036005
0.38874960,496.36215000,1.00000000,0.28400864
0.38874918,495.48715000,2.00000000,0.28519330
0.38874573,495.92465000,3.00000000,0.28460122
0.42372426,552.10500000,1.00000000,0.21451548
0.38874960,495.45755000,2.00000000,0.28523329
0.40107780,524.68570000,3.00000000,0.24741056
0.38875437,496.57956000,1.00000000,0.28371389
0.38874927,495.48248000,2.00000000,0.28519963
0.43544152,565.53986000,3.00000000,0.19966500
